id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
98703,7,8,2017,3,2,2017-08-07
98716,8,8,2020,3,2,2020-08-08
98719,13,5,2018,2,1,2018-05-13
98725,24,3,2021,1,1,2021-03-24
98726,7,7,2020,3,2,2020-07-07
98741,14,7,2018,3,2,2018-07-14
98751,3,7,2020,3,2,2020-07-03
98789,19,9,2020,3,2,2020-09-19
98800,25,9,2020,3,2,2020-09-25
98801,15,7,2018,3,2,2018-07-15
98813,27,2,2021,1,1,2021-02-27
98815,5,9,2019,3,2,2019-09-05
98821,17,11,2019,4,2,2019-11-17
98833,25,2,2021,1,1,2021-02-25
98837,16,9,2006,3,2,2006-09-16
98856,8,3,2021,1,1,2021-03-08
98873,1,11,2019,4,2,2019-11-01
98877,3,4,2018,2,1,2018-04-03
98878,14,9,2017,3,2,2017-09-14
98879,13,7,2018,3,2,2018-07-13
98892,26,4,2020,2,1,2020-04-26
98898,13,11,2010,4,2,2010-11-13
98916,30,5,2007,2,1,2007-05-30
98919,5,10,2014,4,2,2014-10-05
98922,19,7,2020,3,2,2020-07-19
98924,16,5,2020,2,1,2020-05-16
98937,17,12,2020,4,2,2020-12-17
98947,3,2,2020,1,1,2020-02-03
98948,15,8,2012,3,2,2012-08-15
98960,2,1,2021,1,1,2021-01-02
98972,22,4,2008,2,1,2008-04-22
98973,16,5,2010,2,1,2010-05-16
98974,29,9,2010,3,2,2010-09-29
98975,30,8,2019,3,2,2019-08-30
98979,23,5,2021,2,1,2021-05-23
98980,22,10,2020,4,2,2020-10-22
98983,3,8,2020,3,2,2020-08-03
99012,28,11,2020,4,2,2020-11-28
99015,31,10,2020,4,2,2020-10-31
99022,23,8,2020,3,2,2020-08-23
99027,25,11,2020,4,2,2020-11-25
99030,29,7,2020,3,2,2020-07-29
99038,3,4,2013,2,1,2013-04-03
99059,21,7,2015,3,2,2015-07-21
99073,5,7,2019,3,2,2019-07-05
99074,26,6,2020,2,1,2020-06-26
99086,30,11,2016,4,2,2016-11-30
99089,7,7,2021,3,2,2021-07-07
99113,8,5,2020,2,1,2020-05-08
99114,30,8,2020,3,2,2020-08-30
99128,25,10,2020,4,2,2020-10-25
99131,14,7,2020,3,2,2020-07-14
99133,1,3,2018,1,1,2018-03-01
99135,1,9,2017,3,2,2017-09-01
99137,8,10,2020,4,2,2020-10-08
99139,28,3,2011,1,1,2011-03-28
99153,31,7,2018,3,2,2018-07-31
99162,20,6,2020,2,1,2020-06-20
99188,14,10,2016,4,2,2016-10-14
99194,17,4,2020,2,1,2020-04-17
99207,6,10,2020,4,2,2020-10-06
99208,12,8,2019,3,2,2019-08-12
99227,31,8,2019,3,2,2019-08-31
99246,13,8,2016,3,2,2016-08-13
99251,27,5,2020,2,1,2020-05-27
99259,10,10,2020,4,2,2020-10-10
99264,15,5,2020,2,1,2020-05-15
99271,15,11,2020,4,2,2020-11-15
99276,2,5,2009,2,1,2009-05-02
99277,23,5,2009,2,1,2009-05-23
99284,20,5,2020,2,1,2020-05-20
99285,29,9,2020,3,2,2020-09-29
99286,20,7,2019,3,2,2019-07-20
99291,16,2,2020,1,1,2020-02-16
99292,27,10,2020,4,2,2020-10-27
99293,28,10,2020,4,2,2020-10-28
99301,22,7,2020,3,2,2020-07-22
99311,29,10,2018,4,2,2018-10-29
99319,8,7,2020,3,2,2020-07-08
99322,23,7,2020,3,2,2020-07-23
99323,16,11,2020,4,2,2020-11-16
99324,7,2,2021,1,1,2021-02-07
99350,2,5,2017,2,1,2017-05-02
99374,20,9,2019,3,2,2019-09-20
99381,20,9,2017,3,2,2017-09-20
99384,22,2,2021,1,1,2021-02-22
99385,4,9,2016,3,2,2016-09-04
99386,13,9,2020,3,2,2020-09-13
99387,14,9,2020,3,2,2020-09-14
99388,15,7,2020,3,2,2020-07-15
99389,1,9,2020,3,2,2020-09-01
99394,26,4,2021,2,1,2021-04-26
99402,20,7,2020,3,2,2020-07-20
99405,1,2,2016,1,1,2016-02-01
99407,17,2,2020,1,1,2020-02-17
99417,9,4,2017,2,1,2017-04-09
99424,21,10,2017,4,2,2017-10-21
99448,1,1,2019,1,1,2019-01-01
99484,26,4,2012,2,1,2012-04-26
99504,13,7,2019,3,2,2019-07-13
99508,14,6,2014,2,1,2014-06-14
99509,9,5,2020,2,1,2020-05-09
99518,10,1,2019,1,1,2019-01-10
99525,2,9,2019,3,2,2019-09-02
99529,10,8,2019,3,2,2019-08-10
99546,4,10,2014,4,2,2014-10-04
99556,21,11,2019,4,2,2019-11-21
99582,5,3,2018,1,1,2018-03-05
99615,10,10,2014,4,2,2014-10-10
99643,24,7,2020,3,2,2020-07-24
99644,1,1,2000,1,1,2000-01-01
99645,17,3,2020,1,1,2020-03-17
99652,15,2,2021,1,1,2021-02-15
99681,7,10,2020,4,2,2020-10-07
99683,15,12,2019,4,2,2019-12-15
99688,16,12,2019,4,2,2019-12-16
99694,5,5,2018,2,1,2018-05-05
99714,8,6,2020,2,1,2020-06-08
99728,21,7,2013,3,2,2013-07-21
99732,31,12,2015,4,2,2015-12-31
99750,21,3,2021,1,1,2021-03-21
99756,11,5,2021,2,1,2021-05-11
99784,12,4,2020,2,1,2020-04-12
99798,21,12,2019,4,2,2019-12-21
99816,8,4,2019,2,1,2019-04-08
99832,4,2,2021,1,1,2021-02-04
99903,7,9,2015,3,2,2015-09-07
99916,3,4,2020,2,1,2020-04-03
99920,2,4,2011,2,1,2011-04-02
99930,19,7,2016,3,2,2016-07-19
99935,2,6,2016,2,1,2016-06-02
99961,15,4,2021,2,1,2021-04-15
99976,13,6,2019,2,1,2019-06-13
99979,4,3,2021,1,1,2021-03-04
99987,4,5,2015,2,1,2015-05-04
100024,9,5,2021,2,1,2021-05-09
100054,8,12,2020,4,2,2020-12-08
100057,9,3,2021,1,1,2021-03-09
100060,24,1,2020,1,1,2020-01-24
100061,28,10,2016,4,2,2016-10-28
100078,31,1,2021,1,1,2021-01-31
100097,29,3,2018,1,1,2018-03-29
100136,17,8,2015,3,2,2015-08-17
100138,7,3,2020,1,1,2020-03-07
100154,26,5,2021,2,1,2021-05-26
100167,7,8,2020,3,2,2020-08-07
100169,18,11,2016,4,2,2016-11-18
100189,25,1,2020,1,1,2020-01-25
100215,10,7,2020,3,2,2020-07-10
100217,10,1,2020,1,1,2020-01-10
100219,18,1,2016,1,1,2016-01-18
100241,23,3,2019,1,1,2019-03-23
100252,29,8,2017,3,2,2017-08-29
100256,6,4,2018,2,1,2018-04-06
100257,18,5,2018,2,1,2018-05-18
100267,1,8,2020,3,2,2020-08-01
100283,20,12,2020,4,2,2020-12-20
100296,13,8,2020,3,2,2020-08-13
100307,21,7,2019,3,2,2019-07-21
100308,8,3,2020,1,1,2020-03-08
100324,29,9,2016,3,2,2016-09-29
100330,19,1,2020,1,1,2020-01-19
100344,17,5,2021,2,1,2021-05-17
100346,12,11,2006,4,2,2006-11-12
100360,29,4,2021,2,1,2021-04-29
100378,2,11,2014,4,2,2014-11-02
100389,10,9,2020,3,2,2020-09-10
100400,15,6,2018,2,1,2018-06-15
100420,5,10,2017,4,2,2017-10-05
100423,19,1,2015,1,1,2015-01-19
100424,23,1,2021,1,1,2021-01-23
100431,24,2,2021,1,1,2021-02-24
100442,13,2,2021,1,1,2021-02-13
100462,28,11,2010,4,2,2010-11-28
100487,10,12,2018,4,2,2018-12-10
100521,27,3,2019,1,1,2019-03-27
100522,2,4,2019,2,1,2019-04-02
100544,18,1,2021,1,1,2021-01-18
100547,27,2,2018,1,1,2018-02-27
100551,9,8,2020,3,2,2020-08-09
